# --- TEST_START: 1746900547 ---
backend-b-1,0.13%,425.8MiB / 30.25GiB,4.69MB / 5.05MB
backend-a-1,0.09%,766.8MiB / 30.25GiB,4.92MB / 5.34MB
grafana,0.97%,79.6MiB / 30.25GiB,64.8kB / 108kB
prometheus,0.07%,49.75MiB / 30.25GiB,2.52MB / 3.11MB
myservice,0.10%,587.7MiB / 30.25GiB,63.2kB / 1.17MB
node-exporter,1.44%,13.89MiB / 30.25GiB,69.4kB / 1.34MB
quirky_austin,326.74%,746.3MiB / 30.25GiB,606B / 0B
quirky_austin,359.95%,1.008GiB / 30.25GiB,3.43MB / 3.22MB
backend-b-1,17.97%,428.2MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,53.34%,772.9MiB / 30.25GiB,6.57MB / 7.12MB
grafana,2.54%,79.61MiB / 30.25GiB,65.9kB / 108kB
prometheus,0.00%,49.75MiB / 30.25GiB,2.53MB / 3.11MB
myservice,0.14%,587.7MiB / 30.25GiB,63.8kB / 1.18MB
node-exporter,0.00%,13.84MiB / 30.25GiB,69.4kB / 1.34MB
quirky_austin,0.09%,1019MiB / 30.25GiB,3.43MB / 3.24MB
backend-b-1,0.17%,428.2MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.13%,773MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.24%,79.61MiB / 30.25GiB,65.9kB / 108kB
prometheus,0.10%,49.75MiB / 30.25GiB,2.56MB / 3.11MB
myservice,0.95%,587.7MiB / 30.25GiB,64.5kB / 1.19MB
node-exporter,0.00%,14.12MiB / 30.25GiB,70.1kB / 1.35MB
quirky_austin,0.13%,1019MiB / 30.25GiB,3.43MB / 3.24MB
backend-b-1,0.16%,428.2MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.13%,773MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.11%,79.6MiB / 30.25GiB,66kB / 109kB
prometheus,0.82%,49.76MiB / 30.25GiB,2.57MB / 3.11MB
myservice,0.12%,587.7MiB / 30.25GiB,64.5kB / 1.19MB
node-exporter,1.36%,14.46MiB / 30.25GiB,70.9kB / 1.37MB
quirky_austin,0.09%,1019MiB / 30.25GiB,3.43MB / 3.24MB
backend-b-1,0.12%,428.2MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,9.05%,774.8MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.24%,79.6MiB / 30.25GiB,66kB / 109kB
prometheus,0.00%,49.75MiB / 30.25GiB,2.59MB / 3.12MB
myservice,0.15%,587.8MiB / 30.25GiB,65.2kB / 1.21MB
node-exporter,0.00%,14.46MiB / 30.25GiB,70.9kB / 1.37MB
quirky_austin,0.08%,1019MiB / 30.25GiB,3.43MB / 3.24MB
backend-b-1,0.11%,428.2MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.10%,774.8MiB / 30.25GiB,6.57MB / 7.12MB
grafana,2.02%,79.61MiB / 30.25GiB,66kB / 109kB
prometheus,0.00%,51.76MiB / 30.25GiB,2.6MB / 3.12MB
myservice,0.10%,587.8MiB / 30.25GiB,65.2kB / 1.21MB
node-exporter,1.46%,13.71MiB / 30.25GiB,71.6kB / 1.38MB
quirky_austin,0.10%,1019MiB / 30.25GiB,3.43MB / 3.25MB
backend-b-1,0.11%,429.4MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.15%,774.8MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.12%,79.61MiB / 30.25GiB,66.2kB / 109kB
prometheus,0.76%,51.78MiB / 30.25GiB,2.63MB / 3.12MB
myservice,0.12%,587.8MiB / 30.25GiB,65.9kB / 1.22MB
node-exporter,0.00%,13.71MiB / 30.25GiB,71.6kB / 1.38MB
quirky_austin,0.09%,1019MiB / 30.25GiB,3.43MB / 3.25MB
backend-b-1,0.11%,429.4MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.11%,774.8MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.11%,79.6MiB / 30.25GiB,66.3kB / 109kB
prometheus,0.00%,51.76MiB / 30.25GiB,2.64MB / 3.12MB
myservice,0.25%,587.9MiB / 30.25GiB,66.5kB / 1.23MB
node-exporter,0.00%,13.73MiB / 30.25GiB,72.3kB / 1.4MB
quirky_austin,0.10%,1019MiB / 30.25GiB,3.43MB / 3.25MB
backend-b-1,0.13%,429.4MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.12%,774.7MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.07%,79.6MiB / 30.25GiB,66.3kB / 109kB
prometheus,0.09%,51.77MiB / 30.25GiB,2.66MB / 3.12MB
