# --- TEST_START: 1746902996 ---
myservice,0.59%,675.8MiB / 30.25GiB,250kB / 4.69MB
grafana,1.09%,91.21MiB / 30.25GiB,136kB / 176kB
backend-a-1,0.09%,726.1MiB / 30.25GiB,40.4MB / 49.3MB
prometheus,0.07%,59.53MiB / 30.25GiB,10MB / 3.44MB
backend-b-1,0.10%,484MiB / 30.25GiB,35MB / 38MB
node-exporter,0.00%,15.29MiB / 30.25GiB,270kB / 5.32MB
quizzical_solomon,278.56%,644.2MiB / 30.25GiB,606B / 0B
quizzical_solomon,367.93%,1.617GiB / 30.25GiB,2.21MB / 2.05MB
myservice,0.16%,675.8MiB / 30.25GiB,250kB / 4.69MB
grafana,2.09%,91.21MiB / 30.25GiB,136kB / 176kB
backend-a-1,189.41%,736.5MiB / 30.25GiB,41.5MB / 50.6MB
prometheus,0.11%,59.53MiB / 30.25GiB,10MB / 3.44MB
backend-b-1,49.59%,484.4MiB / 30.25GiB,35.9MB / 38.9MB
node-exporter,0.00%,14.81MiB / 30.25GiB,271kB / 5.33MB
quizzical_solomon,221.64%,1.66GiB / 30.25GiB,4.65MB / 4.15MB
myservice,0.15%,675.8MiB / 30.25GiB,251kB / 4.7MB
grafana,1.38%,91.21MiB / 30.25GiB,136kB / 176kB
backend-a-1,79.37%,735.8MiB / 30.25GiB,42.6MB / 52MB
prometheus,0.98%,59.53MiB / 30.25GiB,10MB / 3.44MB
backend-b-1,17.60%,484.7MiB / 30.25GiB,36.9MB / 40MB
node-exporter,3.24%,14.83MiB / 30.25GiB,272kB / 5.35MB
quizzical_solomon,0.08%,1.634GiB / 30.25GiB,4.65MB / 4.2MB
myservice,3.47%,675.8MiB / 30.25GiB,251kB / 4.7MB
grafana,1.35%,91.34MiB / 30.25GiB,136kB / 176kB
backend-a-1,0.11%,735.8MiB / 30.25GiB,42.6MB / 52MB
prometheus,0.00%,59.77MiB / 30.25GiB,10.1MB / 3.45MB
backend-b-1,0.10%,484.6MiB / 30.25GiB,36.9MB / 40MB
node-exporter,0.00%,14.83MiB / 30.25GiB,272kB / 5.35MB
quizzical_solomon,0.10%,1.634GiB / 30.25GiB,4.65MB / 4.22MB
myservice,0.10%,675.8MiB / 30.25GiB,251kB / 4.71MB
grafana,1.00%,91.21MiB / 30.25GiB,136kB / 177kB
backend-a-1,0.15%,735.8MiB / 30.25GiB,42.6MB / 52MB
prometheus,0.04%,59.76MiB / 30.25GiB,10.1MB / 3.45MB
backend-b-1,1.54%,484.7MiB / 30.25GiB,36.9MB / 40MB
node-exporter,0.00%,15.62MiB / 30.25GiB,273kB / 5.36MB
