prometheus,0.11%,69.47MiB / 30.25GiB,1.53MB / 2.99MB
grafana,1.08%,78.99MiB / 30.25GiB,52.6kB / 97.3kB
myservice,1.08%,627.3MiB / 30.25GiB,1.46MB / 2.25MB
backend-b-1,0.10%,281.7MiB / 30.25GiB,3.02kB / 1.48kB
backend-a-1,0.10%,332.3MiB / 30.25GiB,469kB / 486kB
node-exporter,0.00%,12.73MiB / 30.25GiB,36.2kB / 688kB
nifty_kare,290.78%,699.1MiB / 30.25GiB,934B / 202B
nifty_kare,2.53%,699.2MiB / 30.25GiB,31.8kB / 30.7kB
prometheus,0.92%,69.52MiB / 30.25GiB,1.54MB / 2.99MB
grafana,1.26%,79MiB / 30.25GiB,52.8kB / 97.5kB
myservice,1.02%,627.4MiB / 30.25GiB,1.51MB / 2.3MB
backend-b-1,0.14%,282MiB / 30.25GiB,3.02kB / 1.63kB
backend-a-1,0.57%,338.6MiB / 30.25GiB,484kB / 501kB
node-exporter,0.00%,12.8MiB / 30.25GiB,36.9kB / 703kB
nifty_kare,5.95%,699.2MiB / 30.25GiB,40.5kB / 40.7kB
prometheus,2.02%,69.8MiB / 30.25GiB,1.57MB / 3MB
grafana,1.42%,79.02MiB / 30.25GiB,53kB / 97.9kB
myservice,2.43%,627.4MiB / 30.25GiB,1.52MB / 2.33MB
backend-b-1,0.18%,282MiB / 30.25GiB,3.16kB / 1.63kB
backend-a-1,1.12%,338.8MiB / 30.25GiB,488kB / 506kB
node-exporter,0.00%,12.8MiB / 30.25GiB,36.9kB / 703kB
nifty_kare,5.71%,699.2MiB / 30.25GiB,58.9kB / 60.3kB
prometheus,0.00%,65.69MiB / 30.25GiB,1.59MB / 3MB
grafana,1.21%,79.01MiB / 30.25GiB,53kB / 97.9kB
myservice,2.61%,627.6MiB / 30.25GiB,1.55MB / 2.38MB
backend-b-1,0.13%,282MiB / 30.25GiB,3.2kB / 1.67kB
backend-a-1,1.07%,340.8MiB / 30.25GiB,498kB / 515kB
node-exporter,0.00%,13.09MiB / 30.25GiB,37.7kB / 718kB
nifty_kare,0.12%,699.2MiB / 30.25GiB,62.3kB / 64.7kB
prometheus,0.00%,65.68MiB / 30.25GiB,1.61MB / 3MB
grafana,1.27%,79.01MiB / 30.25GiB,53.3kB / 98.1kB
myservice,0.12%,627.6MiB / 30.25GiB,1.55MB / 2.38MB
backend-b-1,0.12%,282MiB / 30.25GiB,3.2kB / 1.67kB
backend-a-1,0.33%,340.8MiB / 30.25GiB,500kB / 517kB
node-exporter,1.64%,13.21MiB / 30.25GiB,38.4kB / 732kB
nifty_kare,0.11%,699.2MiB / 30.25GiB,62.3kB / 65.3kB
