# --- TEST_START: 1746911578 ---
prometheus,0.00%,59.48MiB / 30.25GiB,1.02MB / 2.97MB
backend-a-1,0.10%,250.7MiB / 30.25GiB,2.43kB / 1.33kB
backend-b-1,0.11%,354.8MiB / 30.25GiB,2.47kB / 1.02kB
grafana,1.25%,77.66MiB / 30.25GiB,41.5kB / 85.3kB
myservice,0.10%,578MiB / 30.25GiB,24.7kB / 526kB
node-exporter,0.00%,11.05MiB / 30.25GiB,25.9kB / 480kB
confident_ptolemy,306.87%,728.9MiB / 30.25GiB,916B / 0B
confident_ptolemy,283.94%,917.1MiB / 30.25GiB,1.94MB / 1.86MB
prometheus,1.27%,59.94MiB / 30.25GiB,1.05MB / 2.97MB
backend-a-1,516.75%,514.9MiB / 30.25GiB,956kB / 1.02MB
backend-b-1,274.17%,420.1MiB / 30.25GiB,883kB / 944kB
grafana,1.69%,77.66MiB / 30.25GiB,41.6kB / 85.4kB
myservice,0.48%,578.1MiB / 30.25GiB,25.5kB / 543kB
node-exporter,0.00%,10.98MiB / 30.25GiB,26.6kB / 495kB
confident_ptolemy,46.01%,1.01GiB / 30.25GiB,3.51MB / 3.32MB
prometheus,0.16%,59.94MiB / 30.25GiB,1.07MB / 2.97MB
backend-a-1,0.25%,561.1MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,12.19%,439.9MiB / 30.25GiB,1.58MB / 1.7MB
grafana,0.99%,77.66MiB / 30.25GiB,41.6kB / 85.4kB
myservice,0.21%,578.1MiB / 30.25GiB,25.5kB / 543kB
node-exporter,0.00%,10.98MiB / 30.25GiB,26.6kB / 495kB
confident_ptolemy,0.08%,1GiB / 30.25GiB,3.51MB / 3.33MB
prometheus,0.00%,60.21MiB / 30.25GiB,1.08MB / 2.97MB
backend-a-1,0.12%,539.7MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.84%,439.9MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.00%,77.68MiB / 30.25GiB,41.7kB / 85.5kB
myservice,0.11%,578.2MiB / 30.25GiB,26.2kB / 560kB
node-exporter,0.00%,11.04MiB / 30.25GiB,27.4kB / 509kB
confident_ptolemy,0.07%,1GiB / 30.25GiB,3.51MB / 3.34MB
prometheus,0.85%,60.3MiB / 30.25GiB,1.11MB / 2.98MB
backend-a-1,0.13%,542MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.11%,439.9MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.80%,77.73MiB / 30.25GiB,41.7kB / 85.6kB
myservice,0.11%,578.2MiB / 30.25GiB,27kB / 577kB
node-exporter,0.00%,11.04MiB / 30.25GiB,27.4kB / 509kB
confident_ptolemy,0.13%,1GiB / 30.25GiB,3.51MB / 3.34MB
prometheus,0.14%,60.41MiB / 30.25GiB,1.13MB / 2.98MB
backend-a-1,0.58%,542MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.25%,440.1MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.00%,77.73MiB / 30.25GiB,41.7kB / 85.6kB
myservice,0.89%,578.2MiB / 30.25GiB,27.7kB / 594kB
node-exporter,0.00%,10.99MiB / 30.25GiB,28.1kB / 524kB
confident_ptolemy,0.08%,1GiB / 30.25GiB,3.51MB / 3.34MB
