# --- TEST_START: 1746951002 ---
grafana,1.11%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.31%,61.41MiB / 30.25GiB,11.1MB / 3.43MB
backend-a-1,0.14%,703.6MiB / 30.25GiB,40.4MB / 49.3MB
myservice,0.10%,433.9MiB / 30.25GiB,259kB / 6.04MB
backend-b-1,0.14%,647.5MiB / 30.25GiB,35.1MB / 38MB
node-exporter,1.43%,14.76MiB / 30.25GiB,256kB / 5.06MB
cool_tesla,271.21%,641.3MiB / 30.25GiB,606B / 0B
cool_tesla,363.06%,1.699GiB / 30.25GiB,2.72MB / 2.5MB
grafana,1.26%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.12%,61.41MiB / 30.25GiB,11.1MB / 3.44MB
backend-a-1,186.85%,714MiB / 30.25GiB,41.8MB / 50.9MB
myservice,0.68%,433.9MiB / 30.25GiB,260kB / 6.06MB
backend-b-1,50.38%,648.3MiB / 30.25GiB,36.1MB / 39.1MB
node-exporter,0.00%,14.76MiB / 30.25GiB,256kB / 5.06MB
cool_tesla,4.88%,1.734GiB / 30.25GiB,4.59MB / 4.12MB
grafana,1.22%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.55%,61.41MiB / 30.25GiB,11.1MB / 3.44MB
backend-a-1,0.11%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.11%,433.9MiB / 30.25GiB,260kB / 6.06MB
backend-b-1,0.13%,648.2MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,3.70%,14.76MiB / 30.25GiB,257kB / 5.07MB
cool_tesla,0.38%,1.715GiB / 30.25GiB,4.59MB / 4.16MB
grafana,1.29%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.00%,61.41MiB / 30.25GiB,11.2MB / 3.44MB
backend-a-1,0.11%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.10%,433.9MiB / 30.25GiB,260kB / 6.08MB
backend-b-1,0.11%,648.2MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,14.76MiB / 30.25GiB,257kB / 5.07MB
cool_tesla,0.09%,1.716GiB / 30.25GiB,4.59MB / 4.19MB
grafana,1.07%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.09%,61.42MiB / 30.25GiB,11.2MB / 3.44MB
backend-a-1,0.10%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.53%,433.9MiB / 30.25GiB,261kB / 6.1MB
backend-b-1,0.11%,648.2MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,14.79MiB / 30.25GiB,258kB / 5.09MB
cool_tesla,0.16%,1.716GiB / 30.25GiB,4.59MB / 4.19MB
grafana,1.33%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.06%,61.41MiB / 30.25GiB,11.2MB / 3.44MB
backend-a-1,0.13%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.12%,433.9MiB / 30.25GiB,261kB / 6.1MB
backend-b-1,0.14%,648.2MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,15.45MiB / 30.25GiB,259kB / 5.1MB
cool_tesla,0.11%,1.716GiB / 30.25GiB,4.59MB / 4.19MB
grafana,1.17%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.00%,61.41MiB / 30.25GiB,11.2MB / 3.44MB
backend-a-1,0.15%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.16%,433.9MiB / 30.25GiB,262kB / 6.11MB
backend-b-1,0.12%,648.2MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,15.45MiB / 30.25GiB,259kB / 5.1MB
cool_tesla,0.19%,1.716GiB / 30.25GiB,4.59MB / 4.23MB
grafana,1.16%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.47%,61.42MiB / 30.25GiB,11.2MB / 3.44MB
backend-a-1,0.11%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.13%,433.9MiB / 30.25GiB,262kB / 6.11MB
backend-b-1,0.12%,648.2MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,15.1MiB / 30.25GiB,259kB / 5.12MB
cool_tesla,0.11%,1.716GiB / 30.25GiB,4.59MB / 4.23MB
grafana,1.35%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.29%,61.41MiB / 30.25GiB,11.3MB / 3.44MB
backend-a-1,0.28%,713.7MiB / 30.25GiB,42.6MB / 52MB
myservice,0.11%,433.9MiB / 30.25GiB,263kB / 6.13MB
backend-b-1,0.13%,648.3MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,15.1MiB / 30.25GiB,259kB / 5.12MB
cool_tesla,0.11%,1.716GiB / 30.25GiB,4.59MB / 4.23MB
grafana,1.23%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.07%,61.41MiB / 30.25GiB,11.3MB / 3.44MB
backend-a-1,0.30%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.43%,433.9MiB / 30.25GiB,263kB / 6.15MB
backend-b-1,0.16%,648.2MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,15.1MiB / 30.25GiB,260kB / 5.13MB
cool_tesla,0.38%,1.743GiB / 30.25GiB,4.59MB / 4.23MB
grafana,1.29%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.01%,61.41MiB / 30.25GiB,11.3MB / 3.44MB
backend-a-1,0.11%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.13%,433.9MiB / 30.25GiB,263kB / 6.15MB
