grafana,1.13%,70.99MiB / 30.25GiB,77.3kB / 149kB
myservice,0.16%,600.2MiB / 30.25GiB,10.5kB / 204kB
backend-a-1,0.11%,241.1MiB / 30.25GiB,1.8kB / 808B
backend-b-1,0.12%,253.8MiB / 30.25GiB,1.65kB / 460B
node-exporter,0.00%,13.44MiB / 30.25GiB,11.1kB / 190kB
prometheus,0.00%,61.64MiB / 30.25GiB,416kB / 2.95MB
dazzling_dirac,291.47%,704.1MiB / 30.25GiB,916B / 0B
dazzling_dirac,346.36%,918.9MiB / 30.25GiB,1.6MB / 1.5MB
grafana,1.54%,71MiB / 30.25GiB,78kB / 150kB
myservice,730.37%,731.7MiB / 30.25GiB,1.63MB / 1.96MB
backend-a-1,0.37%,306.5MiB / 30.25GiB,162kB / 171kB
backend-b-1,0.20%,253.8MiB / 30.25GiB,1.73kB / 460B
node-exporter,4.35%,12.82MiB / 30.25GiB,11.9kB / 205kB
prometheus,3.39%,61.73MiB / 30.25GiB,449kB / 2.95MB
dazzling_dirac,0.11%,934.4MiB / 30.25GiB,1.98MB / 1.85MB
grafana,1.26%,71MiB / 30.25GiB,78.3kB / 150kB
myservice,0.31%,732.1MiB / 30.25GiB,1.96MB / 2.35MB
backend-a-1,0.17%,306.5MiB / 30.25GiB,162kB / 171kB
backend-b-1,0.35%,262.2MiB / 30.25GiB,1.73kB / 606B
node-exporter,0.00%,12.82MiB / 30.25GiB,11.9kB / 205kB
prometheus,0.05%,61.72MiB / 30.25GiB,449kB / 2.95MB
dazzling_dirac,0.27%,927.1MiB / 30.25GiB,1.98MB / 1.86MB
grafana,1.22%,71MiB / 30.25GiB,78.3kB / 150kB
myservice,0.27%,732.1MiB / 30.25GiB,1.96MB / 2.37MB
backend-a-1,17.86%,298MiB / 30.25GiB,162kB / 171kB
backend-b-1,0.77%,262.2MiB / 30.25GiB,1.88kB / 606B
node-exporter,0.00%,12.34MiB / 30.25GiB,12.6kB / 220kB
prometheus,0.88%,61.88MiB / 30.25GiB,482kB / 2.95MB
dazzling_dirac,0.12%,927.1MiB / 30.25GiB,1.98MB / 1.86MB
grafana,1.46%,71MiB / 30.25GiB,78.3kB / 150kB
myservice,0.18%,732.1MiB / 30.25GiB,1.96MB / 2.37MB
backend-a-1,0.17%,297.8MiB / 30.25GiB,162kB / 171kB
backend-b-1,0.35%,262.2MiB / 30.25GiB,1.92kB / 648B
