# --- TEST_START: 1746882568 ---
grafana,1.15%,67.38MiB / 30.25GiB,42.1kB / 85kB
backend-a-1,9.04%,247.3MiB / 30.25GiB,2.14kB / 1.12kB
backend-b-1,0.14%,314.6MiB / 30.25GiB,1.68kB / 230B
myservice,0.11%,575MiB / 30.25GiB,2.87kB / 24.3kB
prometheus,0.20%,53.35MiB / 30.25GiB,78.2kB / 2.93MB
node-exporter,0.00%,8.965MiB / 30.25GiB,2.91kB / 28.9kB
upbeat_carson,287.02%,752.1MiB / 30.25GiB,1.48kB / 669B
upbeat_carson,26.40%,768.9MiB / 30.25GiB,192kB / 172kB
grafana,1.10%,67.39MiB / 30.25GiB,42.1kB / 85kB
backend-a-1,38.22%,257MiB / 30.25GiB,165kB / 191kB
backend-b-1,0.13%,314.6MiB / 30.25GiB,1.68kB / 230B
myservice,3.07%,575.1MiB / 30.25GiB,3.55kB / 36.6kB
prometheus,0.82%,53.37MiB / 30.25GiB,90.8kB / 2.93MB
node-exporter,0.00%,9.211MiB / 30.25GiB,3.65kB / 43.2kB
upbeat_carson,21.51%,754.6MiB / 30.25GiB,355kB / 319kB
grafana,1.01%,67.39MiB / 30.25GiB,42.5kB / 85.4kB
backend-a-1,25.69%,265.5MiB / 30.25GiB,305kB / 354kB
backend-b-1,0.13%,314.6MiB / 30.25GiB,1.68kB / 230B
myservice,0.11%,575.1MiB / 30.25GiB,3.55kB / 36.6kB
prometheus,0.00%,53.38MiB / 30.25GiB,105kB / 2.93MB
node-exporter,1.66%,11.35MiB / 30.25GiB,4.39kB / 57.6kB
upbeat_carson,19.13%,753.4MiB / 30.25GiB,518kB / 464kB
grafana,0.96%,67.39MiB / 30.25GiB,42.5kB / 85.4kB
backend-a-1,16.30%,272.2MiB / 30.25GiB,445kB / 517kB
backend-b-1,0.12%,314.6MiB / 30.25GiB,1.68kB / 230B
myservice,0.11%,575.3MiB / 30.25GiB,4.23kB / 48.9kB
prometheus,0.18%,53.41MiB / 30.25GiB,132kB / 2.93MB
node-exporter,0.00%,11.35MiB / 30.25GiB,4.39kB / 57.6kB
# --- TEST_END: 1746882581 ---
grafana,1.34%,67.41MiB / 30.25GiB,42.8kB / 85.7kB
backend-a-1,0.11%,274.2MiB / 30.25GiB,469kB / 545kB
backend-b-1,0.13%,314.6MiB / 30.25GiB,1.68kB / 230B
myservice,1.45%,575.4MiB / 30.25GiB,4.91kB / 61.3kB
prometheus,0.27%,53.41MiB / 30.25GiB,144kB / 2.93MB
node-exporter,0.00%,11.54MiB / 30.25GiB,5.12kB / 72kB
