Laststufe,Gruppe,Metrik,Wert
L1,/data,Durchschnittliche Reaktionszeit im Testzeitraum,0.003 s
L1,/unstable,Durchschnittliche Reaktionszeit im Testzeitraum,0.002 s
L2,/data,Durchschnittliche Reaktionszeit im Testzeitraum,0.003 s
L2,/unstable,Durchschnittliche Reaktionszeit im Testzeitraum,0.002 s
L3,/data,Durchschnittliche Reaktionszeit im Testzeitraum,0.002 s
L3,/unstable,Durchschnittliche Reaktionszeit im Testzeitraum,0.001 s
L1,/data,95. Perzentil der Reaktionszeit im Testzeitraum,0.005 s
L1,/unstable,95. Perzentil der Reaktionszeit im Testzeitraum,0.003 s
L2,/data,95. Perzentil der Reaktionszeit im Testzeitraum,0.009 s
L2,/unstable,95. Perzentil der Reaktionszeit im Testzeitraum,0.005 s
L3,/data,95. Perzentil der Reaktionszeit im Testzeitraum,0.009 s
L3,/unstable,95. Perzentil der Reaktionszeit im Testzeitraum,0.008 s
L1,/data,Maximale Antwortzeit im Testzeitraum,0.100 s
L1,/unstable,Maximale Antwortzeit im Testzeitraum,0.048 s
L2,/data,Maximale Antwortzeit im Testzeitraum,0.143 s
L2,/unstable,Maximale Antwortzeit im Testzeitraum,0.116 s
L3,/data,Maximale Antwortzeit im Testzeitraum,0.056 s
L3,/unstable,Maximale Antwortzeit im Testzeitraum,0.045 s
